price,amount,side
86.484,1.25015,bid
86.478,28.896667,bid
86.47,11.41,bid
86.466,19.064381,bid
86.455,600.0,bid
86.452,35.355621,bid
86.45,0.846,bid
86.446,28.9576,bid
86.436,115.622081,bid
86.403,27.746,bid
86.401,81.388045,bid
86.4,0.564,bid
86.344,141.422484,bid
86.323,65.940581,bid
86.299,70.098213,bid
86.296,115.622081,bid
86.258,353.55621,bid
86.23,329.113534,bid
86.209,60.0,bid
86.179,631.369571,bid
86.169,81.409837,bid
86.113,663.97017,bid
86.1,23.6,bid
86.082,83.659871,bid
86.018,83.082381,bid
86.0,25.906976,bid
85.917,653.245673,bid
85.889,188.915714,bid
85.82,3.892903,bid
85.742,900.04592,bid
85.735,2051.731422,bid
85.719,9.480116,bid
85.699,108.982292,bid
85.622,1.210992,bid
85.5,11.695906,bid
85.491,2893.312533,bid
85.374,3.91324,bid
85.352,55.509926,bid
85.35,117.164616,bid
85.308,1.235429,bid
85.112,1.218248,bid
85.021,53.047419,bid
85.0,26.0,bid
84.93,13.941925,bid
84.81,0.76,bid
84.754,1156.501242,bid
84.685,0.058034,bid
84.604,1.225563,bid
84.585,0.128746,bid
87.9,0.742,ask
87.627,3.832526,ask
87.535,1165.101514,ask
87.518,1.196597,ask
87.415,53.766558,ask
87.343,0.078,ask
87.25,150.0,ask
87.172,3.852546,ask
87.155,1.222262,ask
87.12,1.183712,ask
87.095,0.715056,ask
86.997,1.203765,ask
86.907,0.973799,ask
86.86,0.857709,ask
86.858,1.057295,ask
86.756,3142.333518,ask
86.719,3.872687,ask
86.669,53.957239,ask
86.636,2067.534857,ask
86.603,1.456363,ask
86.55,10.06,ask
86.53,961.036765,ask
86.477,1.210992,ask
86.45,107.424156,ask
86.44,1.399814,ask
86.418,8.7,ask
86.373,693.408581,ask
86.32,190.495642,ask
86.25,25.0,ask
86.221,83.185893,ask
86.198,685.466494,ask
86.191,8.6,ask
86.156,83.616287,ask
86.138,670.128482,ask
86.104,311.62445,ask
86.092,319.800923,ask
86.071,116.480837,ask
86.068,0.008858,ask
86.045,72.369908,ask
86.044,83.872344,ask
86.021,80.106331,ask
86.01,124.64978,ask
86.002,79.279659,ask
85.999,27.949,ask
85.944,0.564,ask
85.919,11.491,ask
85.909,31.162445,ask
85.906,117.288446,ask
85.861,29.110612,ask
85.858,1.212092,ask
85.841,11.612199,bid
85.84,1.224794,bid
85.829,1.558122,bid
85.823,11.491,bid
85.821,29.110612,bid
85.793,83.071485,bid
85.792,0.564,bid
85.789,59.113445,bid
85.785,116.442446,bid
85.739,82.787069,bid
85.728,124.64978,bid
85.68,80.548375,bid
85.665,6.313521,bid
85.65,116.442447,bid
85.634,311.62445,bid
85.633,315.880597,bid
85.599,60.0,bid
85.598,82.646539,bid
85.587,677.669269,bid
85.581,82.45041,bid
85.574,11.3,bid
85.527,722.595405,bid
85.51,81.970984,bid
85.442,188.152991,bid
85.374,3.91324,bid
85.352,773.333578,bid
85.308,1.235429,bid
85.285,71.3,bid
85.243,105.969534,bid
85.194,984.066879,bid
85.112,1.218248,bid
85.099,2067.534857,bid
84.99,0.017614,bid
84.978,54.997812,bid
84.969,3234.914529,bid
84.93,3.933698,bid
84.81,0.76,bid
84.604,1.225563,bid
84.586,13.359169,bid
84.585,0.129101,bid
84.512,55.575303,bid
84.488,3.954277,bid
84.439,0.079164,bid
84.111,1165.101514,bid
84.1,1.232908,bid
84.048,3.974978,bid
83.914,0.129776,bid
83.869,27.839407,bid
83.864,0.729301,bid
83.856,0.105316,bid
87.9,0.742,ask
87.627,3.832526,ask
87.534,1165.235888,ask
87.518,1.196597,ask
87.415,53.766558,ask
87.343,0.078,ask
87.25,150.0,ask
87.172,3.852546,ask
87.155,1.222262,ask
87.12,1.183712,ask
87.095,0.715056,ask
86.997,1.203765,ask
86.907,0.973799,ask
86.86,0.857709,ask
86.858,1.057295,ask
86.719,3.872687,ask
86.669,53.957239,ask
86.664,3219.821384,ask
86.603,1.456363,ask
86.55,10.06,ask
86.54,2069.086654,ask
86.477,1.210992,ask
86.45,107.424156,ask
86.44,1.399814,ask
86.439,896.039706,ask
86.282,777.077687,ask
86.25,25.0,ask
86.189,8.7,ask
86.135,190.495642,ask
86.107,693.858279,ask
86.083,8.6,ask
86.079,83.185893,ask
86.047,703.920553,ask
86.01,312.36486,ask
86.005,83.616287,ask
86.001,322.225907,ask
85.962,200.504565,ask
85.954,70.412801,ask
85.925,80.654767,ask
85.916,124.945944,ask
85.893,79.279659,ask
85.889,27.98,ask
85.874,7.309103,ask
85.841,11.502,ask
85.833,0.564,ask
85.827,116.613885,ask
85.806,31.236486,ask
85.793,0.846,ask
85.787,29.150357,ask
85.782,1.200524,ask
85.767,11.451064,bid
85.763,1.267353,bid
85.749,1.561824,bid
85.748,11.502,bid
85.745,29.150357,bid
85.713,83.071485,bid
85.712,0.846,bid
85.702,147.83582,bid
85.691,6.843286,bid
85.684,27.983,bid
85.672,0.564,bid
85.658,80.481477,bid
85.635,8.128526,bid
85.634,124.945944,bid
85.583,76.652297,bid
85.542,116.632221,bid
85.54,312.36486,bid
85.536,347.622408,bid
85.513,82.45041,bid
85.49,665.764694,bid
85.47,82.646539,bid
85.43,647.351335,bid
85.42,11.3,bid
85.405,81.970984,bid
85.374,3.91324,bid
85.318,188.152991,bid
85.308,1.235429,bid
85.255,778.111368,bid
85.112,1.218248,bid
85.098,1028.42475,bid
85.077,105.969534,bid
85.005,2069.086654,bid
84.99,0.017614,bid
84.978,54.997812,bid
84.93,3.933698,bid
84.873,2820.637752,bid
84.81,0.76,bid
84.604,1.225563,bid
84.585,0.129101,bid
84.512,55.575303,bid
84.488,3.954277,bid
84.439,0.079164,bid
84.11,1165.235888,bid
84.101,13.43621,bid
84.1,1.232908,bid
84.048,3.974978,bid
83.939,0.184658,bid
83.914,0.129776,bid
83.869,27.839407,bid
83.864,0.729301,bid
85.293,8.7,ask
85.276,2.5312,ask
85.267,2.5312,ask
85.261,190.495642,ask
85.249,2.5312,ask
85.239,83.185893,ask
85.231,2.5312,ask
85.215,666.224077,ask
85.186,2.5312,ask
85.184,8.6,ask
85.177,2.5312,ask
85.168,2.5312,ask
85.159,647.572168,ask
85.158,83.872344,ask
85.15,2.5312,ask
85.142,83.616287,ask
85.141,2.5312,ask
85.123,2.5312,ask
85.114,2.5312,ask
85.105,2.5312,ask
85.097,79.279659,ask
85.096,2.5312,ask
85.095,454.349927,ask
85.082,2.5312,ask
85.073,2.5312,ask
85.072,71.50583,ask
85.068,203.82018,ask
85.064,2.5312,ask
85.055,2.5312,ask
85.046,2.5312,ask
85.028,2.5312,ask
85.014,78.766089,ask
85.001,2.5312,ask
85.0,81.528072,ask
84.992,2.5312,ask
84.988,28.276,ask
84.971,0.564,ask
84.969,2.5312,ask
84.963,6.819999,ask
84.96,2.5312,ask
84.945,2.5312,ask
84.936,120.33251,ask
84.927,2.5312,ask
84.917,0.846,ask
84.914,20.382018,ask
84.911,2.5312,ask
84.903,10.582,ask
84.896,2.5312,ask
84.895,29.454863,ask
84.885,3.810316,ask
84.87,1.019101,bid
84.864,2.5312,bid
84.862,1.246105,bid
84.855,29.454863,bid
84.85,2.5312,bid
84.843,20.382018,bid
84.841,2.5312,bid
84.833,600.0,bid
84.831,11.627,bid
84.828,2.5312,bid
84.817,2.5312,bid
84.816,117.80131,bid
84.798,2.5312,bid
84.796,81.528072,bid
84.794,8.087451,bid
84.771,2.5312,bid
84.762,2.5312,bid
84.755,0.564,bid
84.751,77.571123,bid
84.746,28.267,bid
84.732,2.5312,bid
84.728,203.82018,bid
84.724,78.140978,bid
84.714,2.5312,bid
